1; 541.15; 52; 7; 0.636004; 0.184042; 0.976521; 1.97638; 81.0394; 0; 26.4; 0; 4.88479; 1.86; 0; 0; 0; 0; 0; 0; 0; 0; 
1a; 526.272; 44; 7; 0.639405; 0.186579; 0.91918; 9.98266; 80.7331; 0; 26.4; 0; 4.88808; 1.86; 0; 0; 0; 0; 0; 0; 0; 0; 
2; 2591.12; 45; 7; 0.548273; 0.0278287; 2.93907; 0.196161; 23.5; 0; 65.1955; 0; 0.44; 3.52075; 0; 0; 0; 0; 0; 0; 0; 0; 
2a; 2572.21; 45; 7; 0.548334; 0.0272792; 10; 0.266948; 23.5; 0; 65.1828; 0; 0.44; 3.5695; 0; 0; 0; 0; 0; 0; 0; 0; 
3; 2865.77; 100; 5; 0.540708; 0.0307127; 1.21973; 0.381003; 79.6025; 0; 65.3037; 0; 0.920077; 3.62234; 0; 0; 0; 0; 0; 0; 0; 0; 
3a; 2960.8; 100; 5; 0.541489; 0.0305997; 1.17039; 0.424128; 78.5978; 0; 68.4148; 0; 0.932099; 3.87695; 0; 0; 0; 0; 0; 0; 0; 0; 
4; 3094.08; 72; 7; 0.570224; 0.0655241; 0.366771; 2.69604; 81.6823; 0; 26.4; 0; 3.703; 1.86; 0; 0; 0; 0; 0; 0; 0; 0; 
4_special; 3067.32; 100; 5; 0.572606; 0.0670305; 0.354596; 0.293074; 82.1596; 0; 26.4; 0; 3.55236; 1.86; 0; 0; 0; 0; 0; 0; 0; 0; 
4a; 3513.26; 80; 7; 0.569105; 0.0636678; 0.361723; 10; 81.6953; 0; 26.4; 0; 3.72432; 1.86; 0; 0; 0; 0; 0; 0; 0; 0; 
5; 10744.9; 98; 7; 0.563032; 0.0416884; 0.470196; 0.12611; 72.7384; 0; 65.8822; 0; 3.58171; 3.61015; 0; 0; 0; 0; 0; 0; 0; 0; 
5a; 9135.17; 100; 5; 0.538597; 0.0831994; 0.381512; 3.12789; 57.448; 0; 54.5406; 0; 3.22559; 8.82144; 0; 0; 0; 0; 0; 0; 0; 0; 
6; 11440.7; 100; 5; 0.573018; 0.0367781; 0.484822; 0.0663294; 42.5025; 0; 45.5524; 0; 2.12721; 3.2338; 0; 0; 0; 0; 0; 0; 0; 0; 
6a; 11818.2; 100; 5; 0.575626; 0.0391795; 0.467291; 0.0653623; 43.3273; 0; 47.4311; 0; 2.2581; 3.32081; 0; 0; 0; 0; 0; 0; 0; 0; 
