1; 160.094; 0; 7; 0.63; 0.008; 0.32; 0.03; 4.9; 0; 3.7; 0; 4; 5.9; 0; 0; 0; 0; 0; 0; 0; 0; 
1a; 161.396; 0; 7; 0.63; 0.008; 0.32; 0.03; 4.9; 0; 3.7; 0; 4; 5.9; 0; 0; 0; 0; 0; 0; 0; 0; 
2; 167.632; 0; 7; 0.63; 0.008; 0.32; 0.03; 4.9; 0; 3.7; 0; 4; 5.9; 0; 0; 0; 0; 0; 0; 0; 0; 
2a; 166.787; 0; 7; 0.63; 0.008; 0.32; 0.03; 4.9; 0; 3.7; 0; 4; 5.9; 0; 0; 0; 0; 0; 0; 0; 0; 
3; 319.69; 0; 7; 0.63; 0.008; 0.32; 0.03; 4.9; 0; 3.7; 0; 4; 5.9; 0; 0; 0; 0; 0; 0; 0; 0; 
3a; 316.18; 158; 7; 0.54407; 0.0157883; 0.358581; 0.274678; 2.09483; 0; 1.94695; 0; 0.897974; 3.82563; 0; 0; 0; 0; 0; 0; 0; 0; 
4; 74.4775; 6; 7; 2.07208; 0.826638; 0.301054; 0.00664701; 2.07093; 0; 3.7; 0; 4.03754; 5.9; 0; 0; 0; 0; 0; 0; 0; 0; 
4_special; 217.41; 9; 7; 3.43156; 0.258707; 0.264581; 3.58859e-05; 2.09404; 0; 3.7; 0; 3.85827; 5.9; 0; 0; 0; 0; 0; 0; 0; 0; 
4a; 73.6192; 6; 7; 3.36655; 0.180576; 0.29217; 0.0242825; 2.08576; 0; 3.7; 0; 3.81937; 5.9; 0; 0; 0; 0; 0; 0; 0; 0; 
5; 146.122; 97; 7; 0.555721; 0.0208576; 0.342405; 0.106033; 2.07192; 0; 1.95386; 0; 3.78192; 3.57248; 0; 0; 0; 0; 0; 0; 0; 0; 
5a; 143.411; 168; 7; 0.559294; 0.0247023; 0.289214; 0.123095; 2.08002; 0; 1.9538; 0; 3.80665; 3.44664; 0; 0; 0; 0; 0; 0; 0; 0; 
6; 63.3278; 138; 7; 0.586577; 0.0224122; 0.438333; 0.0338055; 2.06634; 0; 1.93579; 0; 2.86159; 4.11349; 0; 0; 0; 0; 0; 0; 0; 0; 
6a; 64.0798; 189; 7; 0.587066; 0.0239306; 0.427985; 0.0350302; 2.04952; 0; 1.95254; 0; 3.01583; 4.21538; 0; 0; 0; 0; 0; 0; 0; 0; 
